sentence_id,entity,tier,template_id,template_type,sentence,positions,n_tokens,layer,resid_post_mean,resid_post_std,resid_post_norm,mlp_out_mean,mlp_out_std,mlp_out_norm,attn_to_entity_mean,attn_from_entity_mean
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,0,3.414849514271623e-09,0.4346647560596466,12.03793716430664,4.6566128730773926e-09,0.3012736737728119,8.343704223632812,0.11486037820577621,0.1666666567325592
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,1,0.0,0.5365236401557922,14.858895301818848,-9.313225746154785e-10,0.20271405577659607,5.6141180992126465,0.07181981950998306,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,2,-5.587935447692871e-09,0.5257343649864197,14.560091018676758,1.0865429667106241e-09,0.2340821921825409,6.482851028442383,0.14445683360099792,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,3,-6.2088170160734535e-09,0.5541709661483765,15.347635269165039,-6.596868051822469e-10,0.19103403389453888,5.290642738342285,0.10751691460609436,0.1666666567325592
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,4,-1.2417634698280722e-09,0.5656068921089172,15.664348602294922,6.05359673500061e-09,0.20244155824184418,5.606571674346924,0.04001857340335846,0.1666666567325592
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,5,1.2417634698280722e-09,0.6626990437507629,18.353296279907227,1.5522043372850902e-10,0.24066400527954102,6.665132999420166,0.0649360865354538,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,6,1.055498888291595e-08,0.7671557664871216,21.246196746826172,4.967053879312289e-09,0.23085811734199524,6.393561363220215,0.04691673815250397,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,7,5.587935447692871e-09,1.0161144733428955,28.141050338745117,1.7074247571358114e-09,0.3537241220474243,9.796306610107422,0.05439189821481705,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,8,9.158005020992732e-09,0.9853580594062805,27.289260864257812,6.51925802230835e-09,0.22867052257061005,6.332976341247559,0.07050899416208267,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,9,9.002785184009099e-09,0.9121742248535156,25.262449264526367,-3.1044086745701804e-10,0.4241565763950348,11.746916770935059,0.06351085007190704,0.1666666865348816
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,10,7.140139590688932e-09,1.0326263904571533,28.598344802856445,9.313225746154785e-10,0.5072389245033264,14.04786205291748,0.0041345348581671715,0.1666666716337204
T01_child,child,T1,T01,pain_suffering,The child was in pain.,[1],6,11,-4.967053879312289e-09,3.518324136734009,97.43915557861328,-1.7384687467369986e-08,2.827124834060669,78.29656219482422,0.042323216795921326,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,0,4.3461718668424965e-09,0.4476228654384613,12.396809577941895,6.829699028543246e-09,0.31805047392845154,8.808333396911621,0.11702541261911392,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,1,3.1044085080367267e-09,0.5656926035881042,15.666723251342773,1.3193736103644937e-09,0.20201149582862854,5.594661235809326,0.07528596371412277,0.1666666865348816
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,2,9.313225746154785e-09,0.5827892422676086,16.14021110534668,5.820766091346741e-09,0.20203006267547607,5.595174789428711,0.1364825963973999,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,3,6.2088170160734535e-09,0.579729437828064,16.055471420288086,2.4835269396561444e-09,0.189962238073349,5.260959625244141,0.10885488241910934,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,4,9.934107758624577e-09,0.6049380898475647,16.753616333007812,2.9491882269638836e-09,0.1886320859193802,5.22412109375,0.03707485273480415,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,5,3.1044085080367267e-09,0.6917500495910645,19.157854080200195,-5.975986372419584e-09,0.23549333214759827,6.521932601928711,0.04910419136285782,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,6,6.829699028543246e-09,0.786174476146698,21.772918701171875,4.6566128730773926e-09,0.22486212849617004,6.227503299713135,0.03886784613132477,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,7,9.623666308300471e-09,1.1047605276107788,30.59608268737793,5.277494441457975e-09,0.43084895610809326,11.932262420654297,0.04063943773508072,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,8,1.862645149230957e-08,1.127683401107788,31.23092269897461,5.122274160385132e-09,0.25432345271110535,7.04342794418335,0.05486496537923813,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,9,1.8781671329293204e-08,1.0288373231887817,28.493406295776367,0.0,0.39092761278152466,10.826647758483887,0.06550799310207367,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,10,1.9868215517249155e-08,1.0493264198303223,29.06084632873535,6.208817349140361e-10,0.5142397284507751,14.241747856140137,0.014515870250761509,0.1666666716337204
T01_dog,dog,T2,T01,pain_suffering,The dog was in pain.,[1],6,11,-1.4901161193847656e-08,3.221426486968994,89.21664428710938,-3.228585043757448e-08,2.5585479736328125,70.85838317871094,0.04190449416637421,0.1666666716337204
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,0,6.51925802230835e-09,0.5180685520172119,14.347785949707031,0.0,0.3951091766357422,10.942456245422363,0.10853311419487,0.1666666716337204
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,1,9.002785184009099e-09,0.5996819138526917,16.608049392700195,7.761021686425451e-11,0.1459660530090332,4.042495250701904,0.0855116993188858,0.1666666716337204
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,2,5.277494441457975e-09,0.6218257546424866,17.2213191986084,1.3969838619232178e-09,0.19064810872077942,5.279953956604004,0.15656599402427673,0.1666666716337204
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,3,1.4901161193847656e-08,0.6128649711608887,16.9731502532959,3.1820188706177532e-09,0.1921573281288147,5.321751594543457,0.11176420748233795,0.1666666716337204
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,4,1.6686195536408377e-08,0.6320711970329285,17.505064010620117,1.649217096222344e-09,0.20905564725399017,5.78974723815918,0.05748904496431351,0.1666666865348816
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,5,1.2417634032146907e-08,0.7427593469619751,20.570547103881836,-4.113341223188627e-09,0.2607088088989258,7.220269203186035,0.047846999019384384,0.1666666716337204
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,6,1.9247332616600943e-08,0.8257133364677429,22.867937088012695,2.7939677238464355e-09,0.2360353320837021,6.536942958831787,0.030954182147979736,0.1666666716337204
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,7,1.8005570368018198e-08,1.0638883113861084,29.46413803100586,1.5522042540183634e-09,0.3587943911552429,9.936725616455078,0.03660181164741516,0.1666666865348816
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,8,8.692343733684993e-09,1.1186121702194214,30.97970199584961,-2.3283064365386963e-09,0.28039854764938354,7.7655720710754395,0.06302482634782791,0.1666666716337204
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,9,7.450580596923828e-09,1.0191354751586914,28.224716186523438,-6.674478303381193e-09,0.38938790559768677,10.78400707244873,0.09474816173315048,0.1666666567325592
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,10,1.3659398057086491e-08,1.0279579162597656,28.469051361083984,6.829699028543246e-09,0.5567511320114136,15.419092178344727,0.025256596505641937,0.1666666716337204
T01_salmon,salmon,T3,T01,pain_suffering,The salmon was in pain.,[1],6,11,1.4901161193847656e-08,2.797039747238159,77.4633560180664,0.0,2.218459367752075,61.4397087097168,0.036328982561826706,0.1666666716337204
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,0,-7.761021270091817e-10,0.38811370730400085,10.74871826171875,0.0,0.25338512659072876,7.017441272735596,0.10260564833879471,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,1,2.017865652348405e-09,0.4846787750720978,13.423065185546875,5.432714833553121e-10,0.14494043588638306,4.0140910148620605,0.0706086978316307,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,2,6.208817349140361e-10,0.5023360252380371,13.912078857421875,-1.3193736103644937e-09,0.16595900058746338,4.596195220947266,0.09373573213815689,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,3,-2.017865652348405e-09,0.5103136301040649,14.133015632629395,-3.1044085080367267e-09,0.17327949404716492,4.798934459686279,0.0786634311079979,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,4,3.414849514271623e-09,0.5442252159118652,15.072187423706055,2.3283064365386963e-10,0.1907683163881302,5.283283710479736,0.02867056056857109,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,5,-6.984919309616089e-10,0.6470603942871094,17.920185089111328,-6.208817349140361e-10,0.22441184520721436,6.215033531188965,0.030901113525032997,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,6,-2.7939677238464355e-09,0.7248793840408325,20.075363159179688,-3.259629011154175e-09,0.18187974393367767,5.037116527557373,0.023252125829458237,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,7,-7.761021686425451e-11,0.962481677532196,26.655704498291016,-1.5522043372850902e-10,0.3245249092578888,8.987641334533691,0.0239219032227993,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,8,-8.459513090031123e-09,0.9646022915840149,26.714431762695312,-4.656612873077393e-10,0.22744886577129364,6.299142837524414,0.03249155357480049,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,9,-5.587935447692871e-09,0.9036585092544556,25.026611328125,-2.3283064365386963e-09,0.3114034831523895,8.624245643615723,0.04056595265865326,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,10,-5.898376453927767e-09,0.855191171169281,23.68431854248047,-6.208817349140361e-10,0.506864070892334,14.037480354309082,0.00994084496051073,0.1428571492433548
T01_octopus,octopus,T4,T01,pain_suffering,The octopus was in pain.,"[1, 2]",7,11,-2.4835269396561444e-09,2.7590761184692383,76.4119644165039,-4.967053879312289e-09,2.1709275245666504,60.12333297729492,0.023136785253882408,0.1428571492433548
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,0,4.3461718668424965e-09,0.4724368453025818,13.084028244018555,2.561137080192566e-09,0.36134397983551025,10.007336616516113,0.11373135447502136,0.1666666865348816
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,1,4.190951585769653e-09,0.5881679654121399,16.289175033569336,-6.208817349140361e-10,0.21742936968803406,6.0216546058654785,0.11685390025377274,0.1666666716337204
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,2,1.2417634698280722e-09,0.5779397487640381,16.005903244018555,3.414849514271623e-09,0.2340194433927536,6.481113433837891,0.20334026217460632,0.1666666865348816
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,3,-1.2417634698280722e-09,0.5790179967880249,16.0357666015625,-2.3283064365386963e-09,0.20603395998477936,5.706061840057373,0.14149509370326996,0.1666666716337204
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,4,-1.862645149230957e-09,0.5811291337013245,16.094234466552734,-1.862645149230957e-09,0.20421375334262848,5.655652046203613,0.047193218022584915,0.1666666716337204
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,5,-2.3283064365386963e-09,0.6829739212989807,18.9148006439209,1.5522043372850902e-10,0.2715505361557007,7.520527362823486,0.05044884979724884,0.1666666567325592
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,6,-1.5522042540183634e-09,0.7821856737136841,21.662446975708008,6.984919309616089e-10,0.23627766966819763,6.543654441833496,0.04948011040687561,0.1666666716337204
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,7,-3.1044086745701804e-10,1.0819637775421143,29.96473503112793,-1.862645149230957e-09,0.4200425446033478,11.632979393005371,0.03414294868707657,0.1666666716337204
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,8,-1.1175870895385742e-08,1.1071066856384277,30.661060333251953,-5.122274160385132e-09,0.26442939043045044,7.323309898376465,0.06248835101723671,0.1666666865348816
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,9,-1.30385160446167e-08,1.015242338180542,28.116897583007812,-3.725290298461914e-09,0.3878282308578491,10.74081039428711,0.0844903439283371,0.1666666865348816
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,10,-9.158005020992732e-09,1.01653254032135,28.15262794494629,4.3461718668424965e-09,0.5226230621337891,14.473922729492188,0.04279343783855438,0.1666666716337204
T01_bee,bee,T4,T01,pain_suffering,The bee was in pain.,[1],6,11,-2.7318796114172983e-08,2.808561086654663,77.7824478149414,-2.4835269396561444e-09,2.1842336654663086,60.49183654785156,0.042051613330841064,0.1666666716337204
